label,REAL.DEPTH
Fragmented hc,22.75
Particles,22.75
Mandible,22.75
Particles,22.75
Particles,22.75
Background,22.75
Pollen,22.75
Background,22.75
Pollen,22.75
Background,22.75
Pollen,22.75
Pollen,22.75
Pollen,22.75
Pollen,22.75
Particles,22.75
Particles,22.75
Background,22.75
Psectrocladius spp,22.75
Background,22.75
Pollen,22.75
unsure,22.75
Psectrocladius spp,22.75
Particles,22.75
Background,22.75
Background,22.75
Micropsectra radialis,22.75
Background,22.75
Psectrocladius spp,22.75
Psectrocladius spp,22.75
Psectrocladius spp,22.75
Psectrocladius spp,22.75
Particles,22.75
Psectrocladius spp,22.75
Pollen,22.75
Fragmented hc,22.75
Background,22.75
Background,22.75
Background,22.75
Background,22.75
Multiple,22.75
Pollen,22.75
Background,22.75
Particles,22.75
Particles,22.75
Pollen,22.75
Background,22.75
Blurry specimens,22.75
Background,22.75
Pollen,22.75
Background,22.75
Psectrocladius spp,22.75
Background,22.75
Background,22.75
Fragmented hc,22.75
Pollen,22.75
Background,22.75
Pollen,22.75
Psectrocladius spp,22.75
Background,22.75
Blurry specimens,22.75
Background,22.75
Background,22.75
Background,22.75
Background,22.75
Particles,22.75
Background,22.75
Pollen,22.75
Particles,22.75
Psectrocladius spp,22.75
Psectrocladius spp,22.75
Background,22.75
Psectrocladius spp,22.75
Pollen,22.75
Particles,22.75
Pollen,22.75
Background,22.75
Corynoneura spp,22.75
Background,34.2
Background,34.2
Fragmented hc,34.2
Corynoneura spp,34.2
Background,34.2
Particles,34.2
Fragmented hc,34.2
Fragmented hc,34.2
Background,34.2
Mandible,34.2
Mandible,34.2
Background,34.2
Background,34.2
Corynoneura spp,34.2
Psectrocladius spp,34.2
Background,34.2
Psectrocladius spp,34.2
Fragmented hc,34.2
Micropsectra radialis,34.2
Fragmented hc,34.2
Fragmented hc,34.2
Corynoneura spp,34.2
Particles,34.2
Corynoneura spp,34.2
Corynoneura spp,34.2
Pollen,34.2
Background,34.2
Background,34.2
Corynoneura spp,34.2
Corynoneura spp,34.2
Fragmented hc,34.2
Fragmented hc,34.2
Background,34.2
Psectrocladius spp,34.2
Pollen,34.2
Background,34.2
Background,34.2
Diatom,34.2
Fragmented hc,34.2
Psectrocladius spp,34.2
Pollen,34.2
Background,34.2
Corynoneura spp,34.2
Corynoneura spp,34.2
Particles,34.2
Psectrocladius spp,34.2
Pollen,34.2
Background,34.2
Background,34.2
Background,34.2
Corynoneura spp,34.2
Background,34.2
Background,34.2
Psectrocladius spp,34.2
Background,34.2
unsure,34.2
Pollen,34.2
Fragmented hc,34.2
Particles,34.2
Fragmented hc,34.2
Pollen,34.2
Background,34.2
Multiple,34.2
Micropsectra radialis,34.2
Psectrocladius spp,34.2
Background,34.2
Particles,34.2
Corynoneura spp,34.2
Psectrocladius spp,34.2
Particles,34.2
Micropsectra radialis,34.2
Fragmented hc,34.2
Particles,34.2
Fragmented hc,34.2
Background,34.2
Fragmented hc,34.2
Background,34.2
Particles,34.2
Micropsectra radialis,34.2
Particles,34.2
Particles,34.2
Background,34.2
Background,34.2
Psectrocladius spp,34.2
Fragmented hc,34.2
Fragmented hc,34.2
Corynoneura spp,34.2
Psectrocladius spp,34.2
Psectrocladius spp,34.2
Corynoneura spp,34.2
Tanypodinae,34.2
Psectrocladius spp,34.2
Psectrocladius spp,34.2
Psectrocladius spp,34.2
Background,34.2
Multiple,34.2
Corynoneura spp,34.2
Background,34.2
Psectrocladius spp,34.2
Diatom,34.2
Corynoneura spp,34.2
Corynoneura spp,34.2
Multiple,34.2
Pollen,34.2
Corynoneura spp,34.2
Background,34.2
Background,34.2
Psectrocladius spp,34.2
Fragmented hc,34.2
Particles,34.2
Background,34.2
Blurry specimens,34.2
Particles,34.2
Psectrocladius spp,34.2
Background,34.2
Corynoneura spp,34.2
Fragmented hc,34.2
Psectrocladius spp,34.2
Background,34.2
Particles,34.2
Background,34.2
unsure,34.2
Corynoneura spp,34.2
Particles,34.2
Psectrocladius spp,34.2
Background,34.2
Psectrocladius spp,34.2
Psectrocladius spp,34.2
Fragmented hc,34.2
Fragmented hc,34.2
Corynoneura spp,34.2
Background,34.2
Corynoneura spp,34.2
Psectrocladius spp,34.2
Fragmented hc,34.2
Fragmented hc,34.2
Background,34.2
Fragmented hc,34.2
Multiple,34.2
Corynoneura spp,34.2
Particles,34.2
Fragmented hc,34.2
Background,34.2
Psectrocladius spp,34.2
Psectrocladius spp,34.2
Corynoneura spp,34.2
Particles,34.2
Background,34.2
Paratanytarsus austriacus,34.2
Background,34.2
Corynoneura spp,34.2
Mandible,34.2
Psectrocladius spp,34.2
Psectrocladius spp,34.2
Fragmented hc,34.2
Orthocladiinae Diamesinae,34.2
Background,34.2
Psectrocladius spp,34.2
Mandible,34.2
Mandible,34.2
Fragmented hc,34.2
Psectrocladius spp,34.2
unsure,34.2
Corynoneura spp,34.2
Psectrocladius spp,34.2
Background,34.2
Corynoneura spp,34.2
Particles,34.2
Corynoneura spp,34.2
Micropsectra radialis,34.2
Micropsectra radialis,34.2
Background,34.2
Background,34.2
Fragmented hc,34.2
Fragmented hc,34.2
Fragmented hc,34.2
Particles,34.2
Psectrocladius spp,34.2
Background,34.2
Psectrocladius spp,34.2
Fragmented hc,34.2
Fragmented hc,34.2
Particles,34.2
Background,34.2
Psectrocladius spp,34.2
Corynoneura spp,34.2
Psectrocladius spp,34.2
Pollen,34.2
Pollen,34.2
Fragmented hc,34.2
Fragmented hc,34.2
Fragmented hc,34.2
Psectrocladius spp,34.2
Pollen,34.2
Fragmented hc,34.2
Corynoneura spp,34.2
unsure,34.2
Fragmented hc,34.2
Background,34.2
Psectrocladius spp,34.2
Fragmented hc,34.2
Pollen,34.2
Corynoneura spp,34.2
Corynoneura spp,34.2
Psectrocladius spp,34.2
Background,34.2
Background,34.2
Fragmented hc,34.2
Background,34.2
Fragmented hc,34.2
Fragmented hc,34.2
Fragmented hc,34.2
Fragmented hc,34.2
Pollen,34.2
Fragmented hc,34.2
Pollen,34.2
Background,34.2
Multiple,34.2
Fragmented hc,34.2
Fragmented hc,34.2
Background,34.2
Micropsectra radialis,34.2
Background,34.2
Background,34.2
Pollen,34.2
Background,34.2
Mandible,34.2
Tanypodinae,34.2
Background,34.2
Background,34.2
Background,34.2
Fragmented hc,34.2
Psectrocladius spp,34.2
Psectrocladius spp,34.2
Psectrocladius spp,34.2
Pollen,34.2
Micropsectra radialis,34.2
Corynoneura spp,34.2
Background,34.2
unsure,34.2
Background,34.2
Background,34.2
Psectrocladius spp,34.2
Background,34.2
Fragmented hc,34.2
Fragmented hc,34.2
Tanypodinae,34.2
Fragmented hc,34.2
Micropsectra radialis,34.2
