Depth,Taxa
4.5,Fragmented hc
4.5,Corynoneura spp
4.5,Particles
4.5,Fragmented hc
4.5,Fragmented hc
4.5,Particles
4.5,Fragmented hc
4.5,unsure
4.5,Multiple
4.5,Micropsectra radialis
4.5,Particles
4.5,Micropsectra radialis
4.5,Micropsectra radialis
4.5,Mandible
4.5,Particles
4.5,Particles
4.5,Background
4.5,Multiple
4.5,Tanypodinae
4.5,Corynoneura spp
4.5,Corynoneura spp
4.5,Particles
4.5,Particles
4.5,Micropsectra radialis
4.5,unsure
4.5,Multiple
4.5,Multiple
4.5,Multiple
4.5,Orthocladiinae Diamesinae
4.5,Corynoneura spp
4.5,Fragmented hc
4.5,Particles
4.5,Background
4.5,Fragmented hc
4.5,Fragmented hc
4.5,Fragmented hc
4.5,Chironomus spp
4.5,Microtendipes pedellus
4.5,Heterotrissocladius marcidus
4.5,Fragmented hc
4.5,Multiple
4.5,Micropsectra radialis
4.5,Background
4.5,Fragmented hc
4.5,Micropsectra radialis
4.5,Fragmented hc
4.5,Multiple
4.5,Background
4.5,Chaoborus th
4.5,Micropsectra radialis
4.5,Corynoneura spp
4.5,Fragmented hc
4.5,Heterotrissocladius marcidus
4.5,Multiple
4.5,Multiple
4.5,Heterotrissocladius marcidus
6.5,Micropsectra insignilobus
6.5,Fragmented hc
6.5,Microtendipes pedellus
6.5,Corynoneura spp
6.5,Micropsectra radialis
6.5,Tanytarsus lugens
6.5,Multiple
6.5,Background
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Micropsectra radialis
6.5,Fragmented hc
6.5,Background
6.5,Micropsectra insignilobus
6.5,Heterotrissocladius marcidus
6.5,Blurry specimens
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Pentaneurini spp
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Chaoborus mandible
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Heterotrissocladius marcidus
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Tanypodinae
6.5,Corynoneura spp
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Micropsectra radialis
6.5,Micropsectra radialis
6.5,Micropsectra insignilobus
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Micropsectra insignilobus
6.5,Micropsectra radialis
6.5,Fragmented hc
6.5,Particles
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Particles
6.5,Micropsectra radialis
6.5,Fragmented hc
6.5,Fragmented hc
6.5,unsure
6.5,Fragmented hc
6.5,Background
6.5,Particles
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Background
6.5,Heterotrissocladius marcidus
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Corynoneura spp
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Background
6.5,Tanypodinae
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Multiple
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Particles
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Micropsectra radialis
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Background
6.5,Fragmented hc
6.5,Fragmented hc
6.5,Psectrocladius spp
6.5,Heterotrissocladius marcidus
6.5,Micropsectra insignilobus
6.5,Fragmented hc
6.5,Heterotrissocladius marcidus
6.5,Fragmented hc
6.5,Microtendipes pedellus
6.5,Chaoborus th
6.5,Micropsectra radialis
6.5,Fragmented hc
6.5,Multiple
6.5,Fragmented hc
6.5,Micropsectra radialis
6.5,Micropsectra insignilobus
6.5,Fragmented hc
6.5,Tanytarsus lugens
6.5,Micropsectra radialis
6.5,Heterotrissocladius marcidus
8.5,Multiple
8.5,Pentaneurini spp
8.5,Fragmented hc
8.5,Micropsectra radialis
8.5,Heterotrissocladius marcidus
8.5,Multiple
8.5,Tanytarsus lugens
8.5,Corynoneura spp
8.5,Heterotrissocladius marcidus
8.5,Fragmented hc
8.5,Background
8.5,Micropsectra radialis
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Micropsectra radialis
8.5,Micropsectra radialis
8.5,Micropsectra radialis
8.5,Psectrocladius spp
8.5,Corynoneura spp
8.5,Background
8.5,Fragmented hc
8.5,Background
8.5,Blurry specimens
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Micropsectra radialis
8.5,Fragmented hc
8.5,Blurry specimens
8.5,Fragmented hc
8.5,Background
8.5,Mandible
8.5,Heterotrissocladius marcidus
8.5,Micropsectra radialis
8.5,Blurry specimens
8.5,Tanypodinae
8.5,Fragmented hc
8.5,Microtendipes pedellus
8.5,Micropsectra insignilobus
8.5,Chironomus spp
8.5,Micropsectra radialis
8.5,Micropsectra radialis
8.5,Background
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Micropsectra insignilobus
8.5,Corynoneura spp
8.5,Background
8.5,Fragmented hc
8.5,Background
8.5,Blurry specimens
8.5,Corynoneura spp
8.5,Background
8.5,Fragmented hc
8.5,Micropsectra radialis
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Background
8.5,Micropsectra radialis
8.5,Multiple
8.5,Fragmented hc
8.5,Micropsectra radialis
8.5,Background
8.5,Micropsectra radialis
8.5,Micropsectra insignilobus
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Tanypodinae
8.5,Fragmented hc
8.5,Background
8.5,Micropsectra insignilobus
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Pentaneurini spp
8.5,Micropsectra radialis
8.5,Multiple
8.5,Multiple
8.5,Tanytarsus lugens
8.5,Mandible
8.5,Mandible
8.5,Background
8.5,Fragmented hc
8.5,Blurry specimens
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Blurry specimens
8.5,Blurry specimens
8.5,Fragmented hc
8.5,Micropsectra radialis
8.5,Multiple
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Fragmented hc
8.5,Blurry specimens
10.5,Micropsectra insignilobus
10.5,Background
10.5,Corynoneura spp
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Background
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Background
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Psectrocladius spp
10.5,Micropsectra radialis
10.5,Fragmented hc
10.5,Particles
10.5,Corynoneura spp
10.5,Fragmented hc
10.5,Multiple
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Multiple
10.5,Background
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Heterotrissocladius marcidus
10.5,Micropsectra insignilobus
10.5,Chironomus spp
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Micropsectra radialis
10.5,Mandible
10.5,Fragmented hc
10.5,Heterotrissocladius marcidus
10.5,Fragmented hc
10.5,Background
10.5,Corynoneura spp
10.5,Blurry specimens
10.5,Orthocladiinae Diamesinae
10.5,Micropsectra insignilobus
10.5,Fragmented hc
10.5,Micropsectra radialis
10.5,Corynoneura spp
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Orthocladiinae Diamesinae
10.5,Multiple
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Corynoneura spp
10.5,Heterotrissocladius marcidus
10.5,Heterotrissocladius marcidus
10.5,Fragmented hc
10.5,Particles
10.5,Corynoneura spp
10.5,Heterotrissocladius marcidus
10.5,Particles
10.5,Fragmented hc
10.5,Micropsectra radialis
10.5,Heterotrissocladius marcidus
10.5,Corynoneura spp
10.5,Fragmented hc
10.5,Heterotrissocladius marcidus
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Fragmented hc
10.5,unsure
10.5,Chaoborus mandible
10.5,Fragmented hc
10.5,Background
10.5,Fragmented hc
10.5,Micropsectra radialis
10.5,Psectrocladius spp
10.5,others
10.5,Psectrocladius spp
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Heterotrissocladius marcidus
10.5,Heterotrissocladius marcidus
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Corynoneura spp
10.5,Particles
10.5,Fragmented hc
10.5,Chironomus spp
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Corynoneura spp
10.5,Multiple
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Mandible
10.5,Particles
10.5,Corynoneura spp
10.5,Corynoneura spp
10.5,Fragmented hc
10.5,Corynoneura spp
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Tanypodinae
10.5,Microtendipes pedellus
10.5,Micropsectra radialis
10.5,Fragmented hc
10.5,Background
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Fragmented hc
10.5,Microtendipes pedellus
10.5,Background
11.5,Fragmented hc
11.5,Fragmented hc
11.5,Background
11.5,Particles
11.5,Mandible
11.5,Fragmented hc
11.5,Psectrocladius spp
11.5,Background
11.5,Tanypodinae
11.5,Fragmented hc
11.5,Particles
11.5,Corynoneura spp
11.5,Micropsectra radialis
11.5,Micropsectra radialis
11.5,Particles
11.5,Fragmented hc
11.5,Fragmented hc
11.5,Fragmented hc
