sample,"Absolute depth (2010 scale, cm)",Acamptocladius,Bryophaenocladius/Gymnometriocnemus,Chaetocladius,Chironomus anthracinus-type,Chironomus plumosus-type,Chironomini,Cladopelma lateralis-type,Cladotanytarsus,Corynocera ambigua mentum,Corynoneura arctica-type,Corynoneura type A,Corynoneura/Thienemanniella 2 medians 2 accessory teeth,Thienemanniella clavicornis-type,Thienemanniella special (may have to be recheched w slides),Cricotopus B/Paratrichocladius,Dicrotendipes nervosus-type,Dicrotendipes notatus-type,Einfeldia,Eukiefferiella,Endochironomus impar-type,Glyptotendipes pallens-type,Glyptotendipes barbipes-type,Head capsule,Heterotrissocladius marcidus-type,Limnophyes,Microtendipes,Micropectra insignilobus-type,Micropsectra radialis-ype,Orthocladiinae,Paraphaenocladius,Paracladopelma,Parakiefferiella bathophila-type,Parasmittia A,Paratanytarsus dark,Paratanytarsus pale,Parorthocladius,Paratendipes albimanus-type,Phaenopsectra flavipes-type,Polypedilum nubeculosum-type,Polypedilum A Hofmann,Procladius,Prodiamesa,Pseudorthocladius,Psectrocladius,Psectrocladius (Allops/Mesops),Psectrocladius septentrionalis-type,Psectrocladius sordidellus-type,Smittia,Stictochironomus rosenschoeldi-type,Sergentia/Stictochironomus B? yi,Synorthocladius,Ablabesmyia,Paramerina,Zavrelimyia A,Thienemannimyia-type,"Zavrelimyia/Paramerina, dorsal pores in line",Tanypodinae,Tanytarsini,Tanytarsus mendax-type,Tanytarsus pallidicornis-type,Zalutschia B,Trichoptera mandible,Ablabesmyia thoracic horn (pupae),Chaoborus flavicans-type,Daphnia ephippia,Ephemeroptera mandible,Mite,Sialis mandible,Trichoptera clypeus,Procladius thoracic horn (pupa) BAC type,"Strange mandible, could be Plecoptera",Pygopodium,Floatablast (bryozoa. Plumatella),"Sessoblast (Plumatella), Bryozoa",Procladius thoracic horn (pupa) non BAC type,Chydoridae ephippium,Zavrelimyia TH,Chaoborus TH,Trichoptera pygopodium,Strange can-opener mandible,Strange mandible,Trichoptera anal claw,Tricho mandible pyramidal,Needle like mandible,Dashyelea,Sialis labrum,Strange hc,Sucker mandible,Asymetrical beetle mentum,Beetle mandible,Bear claw,Strange shovel mandible,Strange can opener mandible,Ceratopogonid,Bagger mandible,tergite indet,Hypopygium,Strange sucker mandible,Simuliid hypostoma,Sciaridae,Odonata claw,Heteroptera head
ROY 09 6a-2 58-59,678.5,0,0,0,0.99009901,0.99009901,0.99009901,0,0.99009901,0,0,0,8.910891089,0,2.97029703,0,0,0,0.99009901,0,0,1.98019802,0,0.99009901,0,0.99009901,0,44.55445545,0,0,0,0,1.98019802,0,0,0,0,0,0,0,0,0.99009901,0,0,0,5.940594059,0,0.99009901,0,0,0,0.99009901,6.930693069,0,0,0,0,0,7.920792079,2.97029703,5.940594059,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09A 6a 60-61,680.5,0,0,0,0,0,1.886792453,0,1.886792453,0,0,0,5.660377358,0,0,0,1.886792453,0,0,0,0,0,0,0,0,0,0,64.1509434,0,0,0,0,5.660377358,0,0,0,0,0,1.886792453,0,0,1.886792453,0,0,0,1.886792453,0,0,0,0,0,0,0,0,0,1.886792453,0,0,1.886792453,1.886792453,7.547169811,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 6a-2 63-64,683.5,0,0,0,1.754385965,0,0,0,3.50877193,0,0,0,7.01754386,0,0,0,0,0,0,0,0,0,0,0,1.754385965,1.754385965,0,47.36842105,0,1.754385965,0,0,1.754385965,0,0,0,0,0,1.754385965,0,0,1.754385965,0,1.754385965,0,1.754385965,0,0,0,0,0,0,0,0,0,0,0,0,7.01754386,15.78947368,3.50877193,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 6a-2 68-69 1 cm3,688.5,0,0,0,1.398601399,0,0.699300699,0,0.699300699,0,0,0,3.496503497,0,0,0,0,0,0,0,0,0,0,2.097902098,0,0,0,76.92307692,0,0,0,0,2.797202797,0,0,0,0,0,0,0,0,2.797202797,0,0,0,1.398601399,0,0,0,0,0,0.699300699,4.195804196,0,0,0,0,0,1.398601399,0.699300699,0.699300699,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 6a-2 70-71,690.5,1.234567901,1.234567901,0,1.234567901,0,0,0,2.469135802,0,2.469135802,0,3.703703704,0,0,0,1.234567901,0,0,0,0,0,1.234567901,0,1.234567901,0,0,65.43209877,0,0,0,0,3.703703704,0,0,0,0,0,0,0,0,1.234567901,0,0,0,1.234567901,0,0,0,0,0,1.234567901,2.469135802,0,0,0,0,0,2.469135802,6.172839506,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 6a-2 73-74,693.5,0.321543408,0,0,2.572347267,0,0,0.643086817,2.572347267,0,0.964630225,0,3.8585209,0,0,0,1.607717042,0,0,0,0,0,0,0,0.321543408,0.321543408,0,64.63022508,0,0,0,0,0.964630225,0,0,0.321543408,0,0,0.321543408,0,0.321543408,3.215434084,0,0,0.321543408,4.823151125,0,0.643086817,0,0,0,0.964630225,4.501607717,0,0,0.643086817,0,0.321543408,2.250803859,1.92926045,0.643086817,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 6a-2 75-76,695.5,0,0,0,12.35955056,0,0,0,0,0,1.123595506,0,4.494382022,0,3.370786517,0,0,1.123595506,0,0,0,0,0,0,1.123595506,0,1.123595506,37.07865169,0,0,0,0,2.247191011,0,0,0,0,0,0,0,3.370786517,0,0,0,0,1.123595506,0,2.247191011,0,0,0,1.123595506,6.741573034,1.123595506,1.123595506,0,0,0,6.741573034,4.494382022,6.741573034,1.123595506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 6a-2 78-79,698.5,0,0,0,0.985221675,0,0,0,0,0,1.97044335,0,0,0.985221675,1.97044335,0,4.433497537,1.477832512,0,0,0,0,0,0.492610837,0.492610837,0.492610837,0,42.36453202,0,0,0,0,0.492610837,0,0.492610837,0,0,0,0,0,0,1.477832512,0,0,0,0.492610837,0,5.418719212,0,0.492610837,0,0.492610837,18.22660099,0,0,0,0,0.985221675,13.79310345,0.985221675,0.985221675,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 6a-2 80-81,700.5,0,0,0,0.943396226,0,0,0,0,0,0,0,2.830188679,0,0,0,0.943396226,0,0,0,0,0.943396226,0,0,0,0,0,65.09433962,0,0.943396226,0,0,0,0,2.830188679,0,0,0,0,0,0.943396226,0.943396226,0,0,0,1.886792453,0.943396226,5.660377358,0,0,0,0,13.20754717,0,0.943396226,0,0,0.943396226,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 6a-2 83-84,703.5,0.319488818,0,0,0.319488818,0,0,0,0,0,2.555910543,0,0,0.319488818,1.597444089,0.319488818,1.597444089,0.638977636,0,0,0,0,0,0.319488818,0.319488818,0.638977636,0,30.67092652,0,4.153354633,0,0,0.638977636,0,5.750798722,0,0,0,0,0,0.319488818,2.236421725,0,0,0,0.319488818,0,38.33865815,0,0,0,0.319488818,5.431309904,0,0.958466454,0,0,0,1.916932907,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 6a-2 85-86,705.5,0,0,0,0,0,0,0,0,0,0,0,1.19047619,0,0,0,2.380952381,0,0,0,0,0,0,0,1.19047619,0,0,76.19047619,0,0,0,0,0,0,1.19047619,0,0,0,0,0,0,0,0,0,0,0,0,4.761904762,0,0,0,0,5.952380952,0,1.19047619,0,0,0,4.761904762,1.19047619,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 6a-2 88-89,708.5,0,0,0,0.961538462,0,0,0,0,0,1.442307692,0,0,0,0.480769231,0,1.923076923,0.480769231,0,0,0,0,0,0,0.480769231,0,0,73.55769231,0,0,0,0,0,0,4.326923077,0,0,0,0,0,0,1.442307692,0,0,0,0,0,3.846153846,0,0,0,0,5.769230769,0,1.442307692,0,0,0,3.846153846,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 6a-2 90-91,710.5,0,0,0,0,0,0,0,0,0,1.639344262,0,0,0,0,0,1.639344262,1.639344262,0,0,0,0,0,0,0,0,0,57.37704918,0,3.278688525,0,0,0,0,3.278688525,0,0,0,0,0,0,0,0,0,0,0,0,6.557377049,0,0,0,1.639344262,19.67213115,0,3.278688525,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 5B-3 12-13,713.5,0,0,0,7.476635514,0,0,0,0,0,0.934579439,0,0.62305296,0,0,0,1.246105919,0.31152648,0,0,0,0,0,0,0.934579439,0.31152648,0,58.25545171,0,0.31152648,0,0,0,0,3.115264798,0,0,0,0,0,0,2.803738318,0,0,0.31152648,0,0,10.90342679,0,0,0,1.246105919,6.853582555,0,1.246105919,0,0,0,2.803738318,0.31152648,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 14-15,715.5,0,0,1.388888889,2.777777778,0,0,0,0,0,0,0,0,0,4.166666667,0,5.555555556,1.388888889,0,0,0,0,0,0,0,0,0,58.33333333,0,0,1.388888889,0,0,0,0,0,0,1.388888889,0,0,0,4.166666667,0,0,0,2.777777778,0,0,0,0,0,1.388888889,11.11111111,0,1.388888889,1.388888889,0,1.388888889,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 17-18,718.5,0,0,0,2.272727273,0,0,0,0,0,1.136363636,0,2.272727273,0,1.136363636,0,0,0,0,0,0,0,0,0,1.136363636,0,0,72.72727273,0,1.136363636,0,0,0,0,0,0,0,0,0,0,0,4.545454545,1.136363636,0,0,0,0,2.272727273,0,0,0,2.272727273,3.409090909,0,0,1.136363636,0,0,2.272727273,1.136363636,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 5b-3 19-20,720.5,0,0,0,4.301075269,0,0,0,0,0,0,0,6.451612903,0,0,0,0,0,0,0,0,0,0,0,1.075268817,0,0,68.8172043,0,0,0,0,0,0,0,0,0,0,0,0,1.075268817,7.52688172,0,0,0,0,0,0,0,0,0,2.150537634,5.376344086,0,0,0,0,0,2.150537634,1.075268817,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 5b-3 22-23,723.5,0,0,0,4.545454545,0,0,0,0,0,2.727272727,0,0,0.909090909,0,0,1.818181818,0,0,0,0,0,0,0,0.909090909,0,0,64.54545455,0,0,0,0,0,0,0,0,0,0,0,0.909090909,0,4.545454545,0,0,0,0.909090909,0,0.909090909,0,0,0,0,12.72727273,0,0,0.909090909,1.818181818,0.909090909,0,0.909090909,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 24-25,725.5,0.729927007,0,0,4.379562044,0,0.729927007,1.459854015,0,0,2.919708029,0,0.729927007,0.729927007,0.729927007,0,5.109489051,0,0,0,0,0,0,0,0.729927007,0,0,46.71532847,0,0,0,0,0,0,0,0,0,1.459854015,0.729927007,0,1.459854015,1.459854015,0,0,0,0,0,0.729927007,0,0,0,2.189781022,14.59854015,0,0,0,0,0.729927007,8.759124088,2.919708029,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 27-28,728.5,0,0,0,2.521008403,0,0,0,0,0,1.680672269,0,0,0,0,0,3.361344538,0.840336134,0,0,0,0,0,0,0,0,0.840336134,61.34453782,0,0,0,0,0,0,0,0,0,0.840336134,0,0,1.680672269,2.521008403,0,0,0,0,0,0,0,0,0,2.521008403,16.80672269,0.840336134,0,0.840336134,0,0,0.840336134,2.521008403,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 29-30 ,730.5,0,0,0,3.947368421,0,1.315789474,0,1.315789474,0,1.315789474,0,6.578947368,0,0,0,1.315789474,0,0,0,0,0,0,1.315789474,1.315789474,1.315789474,0,53.94736842,0,1.315789474,0,0,0,0,0,0,0,0,0,0,1.315789474,5.263157895,0,0,0,0,0,0,0,0,0,1.315789474,11.84210526,1.315789474,0,1.315789474,0,0,0,2.631578947,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 32-33,733.5,0,0,0,3.488372093,0,0.581395349,0,0.581395349,0,3.488372093,0.581395349,0.581395349,2.325581395,0.581395349,0,4.069767442,0.581395349,0,0.581395349,0,0.581395349,0,0.581395349,0.581395349,0,0,45.34883721,0,1.162790698,0,0,0,0,0,0,0,0.581395349,0,0,0.581395349,9.88372093,0,0,0,0,0,0,0,0,0,2.906976744,15.11627907,0,0,0,0,0,4.069767442,0.581395349,0.581395349,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 34-35,735.5,0,0,0,12.5,0,1.5625,0,0,0,6.25,0,1.5625,3.125,0,0,1.5625,0,0,0,0,1.5625,0,0,1.5625,0,0,37.5,0,0,0,1.5625,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,1.5625,10.9375,0,0,0,0,0,7.8125,4.6875,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 39-40,740.5,0,0,0,3.703703704,0,0,0,0,0,3.703703704,0,1.234567901,0,0,0,6.172839506,3.703703704,0,0,0,0,0,0,0,0,0,33.33333333,0,1.234567901,0,0,0,0,0,0,0,0,0,0,0,8.641975309,0,0,0,0,1.234567901,1.234567901,0,0,0,0,17.28395062,0,1.234567901,0,0,0,8.641975309,8.641975309,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 2 42-43check,743.5,0,0,0,9.615384615,0,1.923076923,0,0,0,5.769230769,0,1.923076923,3.846153846,1.923076923,0,3.846153846,0,0,0,0,0,0,1.923076923,0,0,0,34.61538462,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46153846,0,0,0,0,0,0,0,0,0,1.923076923,5.769230769,0,1.923076923,0,0,0,7.692307692,3.846153846,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 44-45,745.5,0,0,0,21.68674699,0,0,0,0,0,4.819277108,0,3.614457831,1.204819277,3.614457831,1.204819277,7.228915663,0,0,0,0,0,0,0,1.204819277,0,0,24.09638554,0,1.204819277,0,1.204819277,0,0,0,0,0,0,0,0,2.409638554,4.819277108,0,0,0,0,0,0,0,0,0,1.204819277,9.638554217,2.409638554,1.204819277,0,0,0,1.204819277,4.819277108,1.204819277,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 49-50,750.5,0,0,0,11.66666667,0,5,0,0,0,13.33333333,0,0,0,0,0,6.666666667,0,0,0,0,0,0,0,1.666666667,0,0,26.66666667,0,0,0,1.666666667,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,0,0,0,0,0,1.666666667,16.66666667,3.333333333,0,0,0,0,6.666666667,1.666666667,1.666666667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 5b-3 52-53 ,753.5,0,0,0,1.25,0,0,0.625,0,0,3.125,1.25,0,0,0,0,1.25,0,0,0,0,0,0,0.625,0,0,0,70,0,0.625,0,0,0,0,1.875,0,0,0,0,0,0,8.125,0,0,0,0,0.625,3.75,0,0,0,0.625,3.125,0,1.25,0,0,0,1.875,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 54-55,755.5,0,0,0,0,0,0,0,0,0,11.53846154,0,0,0,0,0,3.846153846,0,0,0,0,0,0,0,0,0,0,42.30769231,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38461538,0,0,0,0,0,3.846153846,0,0,0,0,7.692307692,0,7.692307692,0,0,0,3.846153846,3.846153846,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 57-58,758.5,0,0,0,2.173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.2173913,0,0,0,0,0,0,8.695652174,0,0,0,0,0,0,15.2173913,0,0,0,0,0,4.347826087,0,0,0,0,0,0,0,0,0,0,4.347826087,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 59-60,760.5,0,0,0,0,0,0,0,0,0,6.779661017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.18644068,0,0,0,0,0,0,1.694915254,0,0,0,0,0,0,13.55932203,0,0,0,0,0,1.694915254,0,0,0,0,0,0,3.389830508,0,0,0,1.694915254,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 5b-3 62-63,763.5,0,0,0,0,0,0,0,0,0,0.595238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.23809524,0,0,0,0,0,0,10.11904762,0,0,0,0,0,0,8.928571429,0,0,0,0,0,3.571428571,0,0,0,0,0,0,1.785714286,0,0,0,4.761904762,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 64-65,765.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.219512195,0,0,0,0,0,0,0,0,0,0,58.53658537,23.17073171,0,0,0,0,0,3.658536585,0,0,0,0,0,0,7.317073171,0,0,0,0,0,1.219512195,0,0,0,0,0,0,0,0,0,0,4.87804878,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 A 5b-3 67-68,768.5,0,0,0,0,0,0,0,0,0,2.380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.85714286,20.23809524,0,0,0,0,0,5.952380952,0,0,0,0,0,0,11.9047619,0,0,0,0,0,10.71428571,0,0,0,0,0,0,4.761904762,0,0,0,1.19047619,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 69-70,770.5,0,0,0,0,0,0,0,0,0,7.52688172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.48387097,29.03225806,0,0,0,0,0,3.225806452,0,0,0,0,0,0,6.451612903,0,0,0,0,0,5.376344086,0,0,0,0,0,0,3.225806452,0,0,1.075268817,8.602150538,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 72-73,773.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,30,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 74-75,775.5,0,0,0,1.162790698,0,0,0,0,0,1.162790698,1.162790698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.02325581,20.93023256,3.488372093,0,0,0,0,4.651162791,0,0,0,0,0,0,6.976744186,0,0,0,0,0,6.976744186,0,0,0,0,2.325581395,0,0,0,0,0,8.139534884,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROY 09 5b-3 77-78,778.5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,19,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
