depth,Abiskomy,Ablabesm,Acamptoc,Allopsec,Brillia,Bryophae,C.obnixu,C.trifas,Chaetocl,Chir ant,Chir plu,Cladopel,Cladotan,Cory amb,Cory arc,Cory cor,Cory edw,Cory lob,Cory oli,Coryno A,Cric 292,Cric cyl,Cric ind,Cric syl,Cric tri,Crico C,Crico P,Cryptoch,Cryptote,D.bertra,Diam abe,Diamesa,Dicroten,Diplocla,Einfeldi,Endo alb,Endo imp,Endo ten,Euki dev,Eukieffe,Euorthoc,Georthoc,Glyptote,Guttipel,H-tanyta,Heleniel,Hete bru,Hete gri,Hete mar,Hete sub,Hydr con,Hydr joh,Hydr lug,Hydrobae,Kiefferu,Krenopel,Krenosmi,Labrundi,Lauterbo,Limnophy,MApDerPs,Mesocric,Mesopsec,Metr eur,Metr fus,Micr ped,Micro in,Micro P,Micro pa,Micro ra,Microchi,Monodiam,Nano bra,Nano rec,Natarsia,Nilotany,O-ius,Omisus,Orth oli,Orth S,Orth tri,P. parva,P.albima,P.gracil,P.psilop,P.vitios,Pagastie,Para aus,Para bat,Para cor,Para nig,Para nud,Para pen,Para tri,Para var,Parachae,Paraclad,Paraclop,Paracric,Parak A,Parameri,Paraphae,Parasmit,Paro kie,Parortho,Phae fla,Phaen A,Pogonocl,Poly con,Poly nub,Poly sor,Procladi,Prodiame,Props N,Protanyp,Psec sep,Psec sor,Pseudoch,Pseudodi,Pseudort,Pseudosm,Rheo cha,Rheo eff,Rheo fus,Rheotany,S.longiv,S.rosens,Sergenti,Smittia,St-nella,Stempell,Stenochi,Sticto.A,Stilocla,Symposio,Synortho,T.lactes,T.nemo,Tany chi,Tany gla,Tany lu2,Tany lug,Tany men,Tany pal,Tanypus,Th-myia,Thie cla,Thien E,Tvetenia,Xenochir,Zalu zal,Zalut A,Zalut B,Zavrelim,Lipinella,Neoz,Zalut_Hydr,Count
1063.5,0,0,0,0,0,0,0,0,0,2.702702703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.108108108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.75675676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.108108108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.702702703,0,0,2.702702703,2.702702703,0,0,0,0,0,0,0,0,0,0,8.108108108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.405405405,0,0,0,0,0,0,0,0,0,0,0,0,0,2.702702703,0,37
1064.5,0,0,0,0,0,0,0,0,0,4.605263158,0,0,0.657894737,0,0,0,0,0,0,0,0,0,1.973684211,0.657894737,0,0,0.657894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.657894737,0,0,0,0,7.894736842,4.605263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.28947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.657894737,0,0,0,0,9.210526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.657894737,0,1.315789474,0,0,5.921052632,1.973684211,5.263157895,0,0,0,0,0,0,0,0,0,5.263157895,3.289473684,0,0,0,0,0,0,0,0,0,0,0,0,0,13.81578947,0.657894737,0,0,0,0,0,0,0,0,0,0,0,0,1.973684211,0,152
1065.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.20512821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.564102564,0,0,0,0,7.692307692,0,7.692307692,0,0,0,0,0,0,0,0,0,17.94871795,7.692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,17.94871795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
1066.5,0,0,0,0,0,0,0,0,0,5.434782609,0,0,1.086956522,0,0,0,0,0,0,0,0,0,0,1.086956522,0,0,0,1.086956522,0,0,0,0,0,0,1.086956522,0,0,0,0,0,0,0,0,0,0,0,0,6.52173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.47826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.086956522,0,0,0,0,5.434782609,0,4.347826087,0,0,0,0,0,0,0,0,0,4.347826087,6.52173913,0,0,0,0,0,0,0,0,0,0,0,0,0,9.782608696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
1067.5,0,0,0,0,0,0,0,0,0,15.87982833,0.429184549,0,0,0.429184549,0,0,0,0,0,0,0,0.429184549,0.429184549,1.287553648,0,0,0.429184549,0.429184549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429184549,0,0,0,0.429184549,2.145922747,0.429184549,0,0,0,0,0,0,0,0,0,0,0.429184549,0,0,0,0,0,32.61802575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429184549,0,0,0,14.16309013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429184549,0,0,0,0,0,0,0,3.433476395,0,3.004291845,0.429184549,0,0,0,0,0,0,0,0,2.145922747,2.145922747,0.429184549,0,0,0,0,0,0,0,0,0,0,0,0,16.30901288,0,0,0,0,0,0,0,0,0,0,0,0,0,0.858369099,0,233
1068.5,0,0,0,0,0,0,0,0,0,10.30927835,0,0,0,0,0,0,0,0,0,0,0,0,0,1.030927835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.154639175,0,0,0,0,0,0,0,0,0,0,0,0,0,1.030927835,0,0,0,35.05154639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6185567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06185567,0,2.06185567,1.030927835,0,0,0,0,0,0,0,0,2.06185567,3.092783505,0,0,0,0,0,0,0,0,0,0,0,0,0,14.43298969,1.030927835,0,0,0,0,0,0,0,0,0,0,0,0,1.030927835,0,97
1069.5,0,0,0,0,0,0,0,0,0,9.433962264,0,0,0,1.886792453,0,0,0,0,0,0,0,0,0,3.773584906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.886792453,9.433962264,0,0,0,0,0,0,0,0,0,0,0,1.886792453,0,0,0,0,0,33.96226415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.433962264,0,0,0,0,0,0,0,0,0,0,0,0,0,1.886792453,0,0,0,0,3.773584906,0,0,3.773584906,0,5.660377358,1.886792453,1.886792453,0,0,0,0,0,0,0,3.773584906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.660377358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
1070.5,0,0,0,0,0,0,0,0,0,3.703703704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.234567901,3.703703704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.38271605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.28395062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.703703704,0,3.703703704,0,0,1.234567901,0,7.407407407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.703703704,1.234567901,1.234567901,0,0,0,0,0,0,0,0,0,0,0,2.469135802,0,81
1071.5,0,0,0,0,0,0,0,0,0,3.448275862,0,0,0,1.724137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.34482759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.82758621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.620689655,0,0,0,0,0,0,0,0,0,0,0,0,0,1.724137931,0,0,1.724137931,0,0,0,0,6.896551724,0,1.724137931,0,0,0,0,0,0,0,0,0,0,3.448275862,0,0,0,0,0,0,0,0,0,0,0,0,0,13.79310345,0,0,0,0,0,0,0,0,0,0,0,0,0,1.724137931,0,58
1072.5,0,0,0,0,0,0,0,0,0,5.263157895,0,0,0,0.751879699,0,0,0,0,0,0,0,0,0,2.255639098,0,0,0.751879699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.759398496,0,0,0,0,0,0,0,0,0,0,0,0.751879699,0,0,0,0,0,41.35338346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751879699,0,0,0,17.29323308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751879699,0,4.511278195,0,0,0,0.751879699,6.015037594,0,0,0,0.751879699,0,0,0,0,0,0,0.751879699,0,0,0,0,0,0,0,0,0,0,0,0,0,8.270676692,0,0.751879699,0,0,0,0,0,0,0,0,0,0,0,3.759398496,0.751879699,133
