"","Lake","Temperature","Depth","Taxa_lake","Taxa","size","count","data_type"
"45","laguna de Rio Seco",4.824688716,136.5,"Tanytarsus lugens.laguna de Rio Seco","Tanytarsus lugens",1016.375061,4,"downcore"
"46","laguna de Rio Seco",4.824688716,136.5,"Psectrocladius spp.laguna de Rio Seco","Psectrocladius spp",593.9806271,22,"downcore"
"47","laguna de Rio Seco",4.824688716,136.5,"Corynoneura spp.laguna de Rio Seco","Corynoneura spp",383.6764106,21,"downcore"
"48","laguna de Rio Seco",4.824688716,136.5,"Micropsectra radialis.laguna de Rio Seco","Micropsectra radialis",657.7268764,23,"downcore"
"49","laguna de Rio Seco",6.789151674,139.5,"Corynoneura spp.laguna de Rio Seco","Corynoneura spp",326.5450975,21,"downcore"
"50","laguna de Rio Seco",6.789151674,139.5,"Tanytarsus lugens.laguna de Rio Seco","Tanytarsus lugens",980.579529,4,"downcore"
"51","laguna de Rio Seco",6.789151674,139.5,"Psectrocladius spp.laguna de Rio Seco","Psectrocladius spp",460.960851,22,"downcore"
"52","laguna de Rio Seco",6.789151674,139.5,"Micropsectra radialis.laguna de Rio Seco","Micropsectra radialis",732.7019595,23,"downcore"
"53","laguna de Rio Seco",6.789151674,139.5,"Orthocladiinae Diamesinae.laguna de Rio Seco","Orthocladiinae Diamesinae",584.626373,17,"downcore"
"54","laguna de Rio Seco",6.789151674,139.5,"Heterotrissocladius marcidus.laguna de Rio Seco","Heterotrissocladius marcidus",555.1551205,11,"downcore"
"55","laguna de Rio Seco",6.959226126,144.5,"Psectrocladius spp.laguna de Rio Seco","Psectrocladius spp",697.732239,22,"downcore"
"56","laguna de Rio Seco",6.959226126,144.5,"Heterotrissocladius marcidus.laguna de Rio Seco","Heterotrissocladius marcidus",408.114716,11,"downcore"
"57","laguna de Rio Seco",6.959226126,144.5,"Micropsectra radialis.laguna de Rio Seco","Micropsectra radialis",748.4347279,23,"downcore"
"58","laguna de Rio Seco",7.426879469,134.5,"Micropsectra radialis.laguna de Rio Seco","Micropsectra radialis",775.8789777,23,"downcore"
"59","laguna de Rio Seco",7.426879469,134.5,"Corynoneura spp.laguna de Rio Seco","Corynoneura spp",417.319946,21,"downcore"
"60","laguna de Rio Seco",7.426879469,134.5,"Psectrocladius spp.laguna de Rio Seco","Psectrocladius spp",651.4282104,22,"downcore"
"61","laguna de Rio Seco",7.426879469,134.5,"Orthocladiinae Diamesinae.laguna de Rio Seco","Orthocladiinae Diamesinae",923.116028,17,"downcore"
"62","laguna de Rio Seco",7.548394884,146.5,"Chironomus spp.laguna de Rio Seco","Chironomus spp",161.559052,8,"downcore"
"63","laguna de Rio Seco",7.548394884,146.5,"Heterotrissocladius marcidus.laguna de Rio Seco","Heterotrissocladius marcidus",480.5838723,11,"downcore"
"64","laguna de Rio Seco",7.548394884,146.5,"Corynoneura spp.laguna de Rio Seco","Corynoneura spp",501.8282473,21,"downcore"
"65","laguna de Rio Seco",7.548394884,146.5,"Micropsectra radialis.laguna de Rio Seco","Micropsectra radialis",720.6491898,23,"downcore"
"66","laguna de Rio Seco",7.548394884,146.5,"Orthocladiinae Diamesinae.laguna de Rio Seco","Orthocladiinae Diamesinae",714.8604837,17,"downcore"
"67","laguna de Rio Seco",7.548394884,146.5,"Psectrocladius spp.laguna de Rio Seco","Psectrocladius spp",631.516983,22,"downcore"
"68","laguna de Rio Seco",7.750926747,22.75,"Tanytarsus lugens.laguna de Rio Seco","Tanytarsus lugens",819.459778,4,"downcore"
"69","laguna de Rio Seco",7.750926747,22.75,"Chaoborus mandible.laguna de Rio Seco","Chaoborus mandible",387.362518,3,"downcore"
"70","laguna de Rio Seco",7.750926747,22.75,"Psectrocladius spp.laguna de Rio Seco","Psectrocladius spp",602.3946905,22,"downcore"
"71","laguna de Rio Seco",7.750926747,22.75,"Chironomus spp.laguna de Rio Seco","Chironomus spp",333.030416,8,"downcore"
"72","laguna de Rio Seco",7.750926747,22.75,"Orthocladiinae Diamesinae.laguna de Rio Seco","Orthocladiinae Diamesinae",688.3174435,17,"downcore"
"73","laguna de Rio Seco",7.750926747,22.75,"Micropsectra radialis.laguna de Rio Seco","Micropsectra radialis",661.868103,23,"downcore"
"74","laguna de Rio Seco",7.750926747,22.75,"Tanypodinae.laguna de Rio Seco","Tanypodinae",418.6434785,16,"downcore"
"75","laguna de Rio Seco",7.750926747,22.75,"Corynoneura spp.laguna de Rio Seco","Corynoneura spp",287.2690888,21,"downcore"
"76","laguna de Rio Seco",8.438070776,34.2,"Paratanytarsus austriacus.laguna de Rio Seco","Paratanytarsus austriacus",126.299309,2,"downcore"
"77","laguna de Rio Seco",8.438070776,34.2,"Psectrocladius spp.laguna de Rio Seco","Psectrocladius spp",531.3853067,22,"downcore"
"78","laguna de Rio Seco",8.438070776,34.2,"Orthocladiinae Diamesinae.laguna de Rio Seco","Orthocladiinae Diamesinae",386.8762895,17,"downcore"
"79","laguna de Rio Seco",8.438070776,34.2,"Micropsectra radialis.laguna de Rio Seco","Micropsectra radialis",601.4217225,23,"downcore"
"80","laguna de Rio Seco",8.438070776,34.2,"Tanypodinae.laguna de Rio Seco","Tanypodinae",338.5205898,16,"downcore"
"81","laguna de Rio Seco",8.438070776,34.2,"Corynoneura spp.laguna de Rio Seco","Corynoneura spp",278.4645223,21,"downcore"
"82","laguna de Rio Seco",8.438070776,34.2,"Chironomus spp.laguna de Rio Seco","Chironomus spp",81.488708,8,"downcore"
"83","laguna de Rio Seco",8.870976079,45.7,"Orthocladiinae Diamesinae.laguna de Rio Seco","Orthocladiinae Diamesinae",676.408437,17,"downcore"
"84","laguna de Rio Seco",8.870976079,45.7,"Psectrocladius spp.laguna de Rio Seco","Psectrocladius spp",535.9313416,22,"downcore"
"85","laguna de Rio Seco",8.870976079,45.7,"Micropsectra radialis.laguna de Rio Seco","Micropsectra radialis",519.3481547,23,"downcore"
"86","laguna de Rio Seco",8.870976079,45.7,"Corynoneura spp.laguna de Rio Seco","Corynoneura spp",299.7760393,21,"downcore"
"87","laguna de Rio Seco",8.870976079,45.7,"Pentaneurini spp.laguna de Rio Seco","Pentaneurini spp",661.715637,7,"downcore"
"88","laguna de Rio Seco",8.870976079,45.7,"Chironomus spp.laguna de Rio Seco","Chironomus spp",518.724792,8,"downcore"
"89","laguna de Rio Seco",8.870976079,45.7,"Tanypodinae.laguna de Rio Seco","Tanypodinae",205.1311398,16,"downcore"
"90","laguna de Rio Seco",8.870976079,45.7,"Chaoborus mandible.laguna de Rio Seco","Chaoborus mandible",12.576985,3,"downcore"
"91","laguna de Rio Seco",8.927793983,57.25,"Micropsectra radialis.laguna de Rio Seco","Micropsectra radialis",740.7636438,23,"downcore"
"92","laguna de Rio Seco",8.927793983,57.25,"Chironomus spp.laguna de Rio Seco","Chironomus spp",224.5457,8,"downcore"
"93","laguna de Rio Seco",8.927793983,57.25,"Pentaneurini spp.laguna de Rio Seco","Pentaneurini spp",604.949463,7,"downcore"
"94","laguna de Rio Seco",8.927793983,57.25,"Heterotrissocladius marcidus.laguna de Rio Seco","Heterotrissocladius marcidus",831.110962,11,"downcore"
"95","laguna de Rio Seco",8.927793983,57.25,"Corynoneura spp.laguna de Rio Seco","Corynoneura spp",278.7610385,21,"downcore"
"96","laguna de Rio Seco",8.927793983,57.25,"Tanypodinae.laguna de Rio Seco","Tanypodinae",568.947708,16,"downcore"
"97","laguna de Rio Seco",8.927793983,57.25,"Psectrocladius spp.laguna de Rio Seco","Psectrocladius spp",549.4931504,22,"downcore"
"98","laguna de Rio Seco",8.92970642,68.8,"Micropsectra radialis.laguna de Rio Seco","Micropsectra radialis",566.9782629,23,"downcore"
"99","laguna de Rio Seco",8.92970642,68.8,"Tanypodinae.laguna de Rio Seco","Tanypodinae",549.4394023,16,"downcore"
"100","laguna de Rio Seco",8.92970642,68.8,"Corynoneura spp.laguna de Rio Seco","Corynoneura spp",274.0724781,21,"downcore"
