Taxa,Satanie,Male Zabie Javorov,Nizne Kozie,Cierne Kezmarske,Nizne Temnosmrecinske,Male Zabie,Dolne Rohacske,Dlhe Velicke,Puste,Vysne Furkotske,Velke Biele,Batizovske,Zelene Kacacie,Zabie Javorove,Vysne Temnosmrecinske,Vysne Terianske,Slavkovske,Horne Rohacske,Vysne Wahlenbergovo,Male Hincovo,Ladove,Vysne Rackovo,Dracie pleso,Nizne Rakytovske,Nizne Rumanovo,Nizne Zabie Bielovodske,Ladove v Zlomiskach,Prostredne Sive,Vysne Zabie Bielovodske,Velicke,Kolove,Litvorove,Vysne Smrekovicke,Nizne Spisske,Velke Spisske,Studene,Strelecke,Starolesnianske pleso,Prostredne Zbojnicke ples,Toporowy Staw,Smreczinsky Staw,Zmarzly Staw,Zielony Staw Gasienicowy,Morskie Oko,Czarny Staw pod Rysami,Czarny Staw Gasieniczowy,Litworowy Staw,Kurtkowiec,Wielki Staw Polski,Zadni Staw Polski,Czarny Staw Polski,Przedni Staw Polski
Psectrocladius sordidellus-type,3,,,,2,,3,,,,16,,,,,,3,19,,,,,,2,,7,,,5.5,,,,,,,,,,,6,6,,1,,1,3,1,12.5,0.5,,0.5,7
Psectrocladius barbatipes-type,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudosmittia sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Smittia foliacea-type,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Smittia-Parasmittia sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,
Synorthocladius semivirens,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Thienemanniella clavicornis-type,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,3,1,,9,,1,,,
Tvetenia bavarica-type,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,3,,,,,
Zalutschia type B,15,,,,,,,,,,1,,,,,,7,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
Zalutschia mucronata-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
Chironomus anthracinus-type,2,,,,,,,,,,,,,,,1,30,,,,,,,23,,,,,,,,,40.5,,,,,,,2,28,,,,,,,,,,,
Chironomus plumosus-type,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,4.5,,,,,,,1,2,,,,,,,,,,,
Cladopelma lateralis-type,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,8,,,,,,,,,,,
Dicrotendipes nervosus-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Dicrotendipes notatus-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,2
Endochironomus impar-type,,,,,,,,,,,,,,,,,7,,,,,,,1.5,,,,,,,,,5,,,,,,,1,10,,,,,,1,,,,,
Lauterborniella sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
Microtendipes pedellus-type,,,,,,,1,,,,,,,,,,,2,,,,,,,,3.5,,,2,,,,,,,,,,,4,,,,2,,,,,2,,,
Pagastiella orophila,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,4,,,,,,,,,,,
Phaenopsectra flavipes-type,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polypedilum nubeculosum-type,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,
Polypedilum sordens-type,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,
Sergentia sp.,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stictochironomus type B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
Micropsectra contracta-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,11,,,,,,,,,,,,,,,2,,,1,,,
Micropsectra insignilobus-type,,,,,,,,,8,2,11,,,7,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Micropsectra junci-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,2,,,,,,,,
Micropsectra radialis-type,,,49,,139,51,,,10,,,30,13,52,20,,,,12,,18,,97,,3.5,68.5,41.5,24.5,59.5,8.5,,51.5,,62,12,27,47.5,,10,,,74,6,,1,40.5,9,8,4,62.5,12,8
Micropsectra type A,,40,,,,6,,,,8,8,,,,,,,,,3,,,,,,,,,,,6,,,,,,,,,,,,3,1,,,,3,1,,,
Micropsectra spp.,,3,,3,,3,,,2,,,,,,,,,,,,,,1,,,,5,,,,21,3,,,,,,,,,,,,,,,5,13,3,,,1
Paratanytarsus austriacus-type,2,165,1,,,2,,,,21,4,,,,1,,,4,,27,,20,,,,,,15,3,1,1,3,7,5,3,6,20,2,,,,,,,3,,,,,,,
Paratanytarsus pencillatus-type,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,1,,4,,,,,,,1,5,,,4,,,1,,,,,
Tanytarsus lugens-type,,67,,25,89,16,4,85,80,,54,86,4,,145,,,44,,20,,,,,,,33.5,9,10,39,27,,,10,71,18,,20,39,,,,37,2,,,19,7,2,7,36.5,21
Tanytarsus mendax-type,57,,,,,,22,,,,,,,,,,,,,,,9,,12,,,2,17,,,,,7,2,,1,8,63,,6,,2,,,,,,1,1,,,
Tanytarsus pallidicornis-type,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,10,,20,,,,,,,,,
Tanytarsus sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
