dataset,label,n
lake Peleaga,Dicrotendipes spp,3
lake Peleaga,Fragmented hc,2184
lake Peleaga,Heterotrissocladius marcidus,143
lake Peleaga,Limnophyes type,14
lake Peleaga,Mandible,70
lake Peleaga,Mentum,7
lake Peleaga,Micropsectra insignilobus,118
lake Peleaga,Micropsectra radialis,407
lake Peleaga,Microtendipes pedellus,68
lake Peleaga,Multiple,366
lake Peleaga,Orthocladiinae Diamesinae,83
lake Peleaga,Paratanytarsus austriacus,19
lake Peleaga,Particles,225
lake Peleaga,Pentaneurini spp,27
lake Peleaga,Pollen,1
lake Peleaga,Polypedilum spp,3
lake Peleaga,Psectrocladius spp,148
lake Peleaga,Pseudochironomus spp,3
lake Peleaga,Tanypodinae,214
lake Peleaga,Tanytarsus lugens,267
lake Peleaga,Tanytarsus spp,41
lake Peleaga,others,10
lake Peleaga,unsure,99
