Absolute.depth,taxa
725.5,Chaoborus mandible
725.5,Chaoborus mandible
725.5,Chaoborus mandible
725.5,Chaoborus mandible
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Tanypodinae
725.5,Tanypodinae
725.5,Tanypodinae
725.5,Chaoborus th
725.5,Chaoborus th
725.5,Chaoborus th
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Fragmented hc
725.5,Fragmented hc
725.5,Fragmented hc
725.5,unsure
725.5,unsure
725.5,unsure
725.5,Chaoborus th
725.5,Chaoborus th
725.5,Chaoborus th
725.5,Chaoborus mandible
725.5,Chaoborus mandible
725.5,Chaoborus mandible
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Chaoborus mandible
725.5,Chaoborus mandible
725.5,Chaoborus mandible
725.5,Fragmented hc
725.5,Fragmented hc
725.5,Fragmented hc
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Blurry specimens
725.5,Blurry specimens
725.5,Blurry specimens
725.5,Chaoborus mandible
725.5,Chaoborus mandible
725.5,Chaoborus mandible
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Fragmented hc
725.5,Fragmented hc
725.5,Fragmented hc
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Tanytarsus lugens
725.5,Tanytarsus lugens
725.5,Tanytarsus lugens
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Chaoborus mandible
725.5,Chaoborus mandible
725.5,Chaoborus mandible
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Acari spp
725.5,Acari spp
725.5,Acari spp
725.5,Particles
725.5,Particles
725.5,Particles
725.5,Chironomus spp
725.5,Chironomus spp
725.5,Chironomus spp
725.5,Blurry specimens
725.5,Blurry specimens
725.5,Blurry specimens
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Tanytarsus lugens
725.5,Tanytarsus lugens
725.5,Tanytarsus lugens
725.5,Chaoborus mandible
725.5,Chaoborus mandible
725.5,Chaoborus mandible
725.5,Chaoborus mandible
725.5,Chaoborus mandible
725.5,Chaoborus mandible
725.5,Pentaneurini spp
725.5,Pentaneurini spp
725.5,Pentaneurini spp
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Chaoborus mandible
725.5,Chaoborus mandible
725.5,Chaoborus mandible
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Corynoneura spp
725.5,Corynoneura spp
725.5,Corynoneura spp
725.5,Corynoneura spp
725.5,Corynoneura spp
725.5,Corynoneura spp
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
725.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Blurry specimens
728.5,Blurry specimens
728.5,Blurry specimens
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Corynoneura spp
728.5,Corynoneura spp
728.5,Corynoneura spp
728.5,Chaoborus mandible
728.5,Chaoborus mandible
728.5,Chaoborus mandible
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Background
728.5,Background
728.5,Background
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Chaoborus mandible
728.5,Chaoborus mandible
728.5,Chaoborus mandible
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Chaoborus mandible
728.5,Chaoborus mandible
728.5,Chaoborus mandible
728.5,Chaoborus th
728.5,Chaoborus th
728.5,Chaoborus th
728.5,Fragmented hc
728.5,Fragmented hc
728.5,Fragmented hc
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Chaoborus mandible
728.5,Chaoborus mandible
728.5,Chaoborus mandible
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Micropsectra insignilobus
728.5,Chaoborus mandible
728.5,Chaoborus mandible
728.5,Chaoborus mandible
728.5,Chaoborus mandible
728.5,Chaoborus mandible
728.5,Chaoborus mandible
728.5,Tanypodinae
728.5,Tanypodinae
728.5,Tanypodinae
728.5,Tanypodinae
728.5,Tanypodinae
728.5,Tanypodinae
730.5,Corynoneura spp
730.5,Corynoneura spp
730.5,Corynoneura spp
730.5,Chaoborus mandible
730.5,Chaoborus mandible
730.5,Chaoborus mandible
730.5,Micropsectra insignilobus
730.5,Micropsectra insignilobus
730.5,Micropsectra insignilobus
730.5,Micropsectra insignilobus
730.5,Micropsectra insignilobus
730.5,Micropsectra insignilobus
730.5,Micropsectra insignilobus
730.5,Micropsectra insignilobus
730.5,Micropsectra insignilobus
730.5,Fragmented hc
730.5,Fragmented hc
730.5,Fragmented hc
730.5,Chaoborus mandible
730.5,Chaoborus mandible
730.5,Chaoborus mandible
730.5,Micropsectra radialis
730.5,Micropsectra radialis
730.5,Micropsectra radialis
730.5,Micropsectra insignilobus
730.5,Micropsectra insignilobus
730.5,Micropsectra insignilobus
730.5,Chaoborus mandible
730.5,Chaoborus mandible
730.5,Chaoborus mandible
730.5,Psectrocladius spp
730.5,Psectrocladius spp
730.5,Psectrocladius spp
730.5,unsure
730.5,unsure
730.5,unsure
730.5,Micropsectra insignilobus
730.5,Micropsectra insignilobus
730.5,Micropsectra insignilobus
730.5,Micropsectra insignilobus
730.5,Micropsectra insignilobus
730.5,Micropsectra insignilobus
730.5,Background
730.5,Background
730.5,Background
730.5,Chaoborus th
730.5,Chaoborus th
730.5,Chaoborus th
730.5,Corynoneura spp
730.5,Corynoneura spp
730.5,Corynoneura spp
730.5,Chaoborus mandible
730.5,Chaoborus mandible
730.5,Chaoborus mandible
730.5,Chaoborus mandible
730.5,Chaoborus mandible
730.5,Chaoborus mandible
730.5,Chaoborus mandible
730.5,Chaoborus mandible
730.5,Chaoborus mandible
730.5,unsure
730.5,unsure
730.5,unsure
730.5,Corynoneura spp
730.5,Corynoneura spp
730.5,Corynoneura spp
730.5,Corynoneura spp
730.5,Corynoneura spp
730.5,Corynoneura spp
730.5,Particles
730.5,Particles
730.5,Particles
730.5,Micropsectra insignilobus
730.5,Micropsectra insignilobus
730.5,Micropsectra insignilobus
730.5,Micropsectra insignilobus
730.5,Micropsectra insignilobus
730.5,Micropsectra insignilobus
730.5,Micropsectra insignilobus
730.5,Micropsectra insignilobus
730.5,Micropsectra insignilobus
730.5,Micropsectra insignilobus
730.5,Micropsectra insignilobus
730.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,Chaoborus mandible
733.5,Chaoborus mandible
733.5,Chaoborus mandible
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,Chaoborus mandible
733.5,Chaoborus mandible
733.5,Chaoborus mandible
733.5,Chaoborus mandible
733.5,Chaoborus mandible
733.5,Chaoborus mandible
733.5,Chaoborus mandible
733.5,Chaoborus mandible
733.5,Chaoborus mandible
733.5,Pentaneurini spp
733.5,Pentaneurini spp
733.5,Pentaneurini spp
733.5,Microtendipes pedellus
733.5,Microtendipes pedellus
733.5,Microtendipes pedellus
733.5,Microtendipes pedellus
733.5,Microtendipes pedellus
733.5,Microtendipes pedellus
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,Chaoborus mandible
733.5,Chaoborus mandible
733.5,Chaoborus mandible
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,unsure
733.5,unsure
733.5,unsure
733.5,Corynoneura spp
733.5,Corynoneura spp
733.5,Corynoneura spp
733.5,Fragmented hc
733.5,Fragmented hc
733.5,Fragmented hc
733.5,Multiple
733.5,Multiple
733.5,Multiple
733.5,Chaoborus mandible
733.5,Chaoborus mandible
733.5,Chaoborus mandible
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,Corynoneura spp
733.5,Corynoneura spp
733.5,Corynoneura spp
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
733.5,Micropsectra insignilobus
