Taxa,Depth below sediment water interface (cm)
Pseudochironomus spp,1045.5
others,1046.5
Tanytarsus spp,1046.5
Blurry specimens,1046.5
Micropsectra insignilobus,1046.5
Blurry specimens,1046.5
Pseudochironomus spp,1046.5
Chironomus spp,1046.5
Multiple,1046.5
Blurry specimens,1046.5
Fragmented hc,1046.5
Fragmented hc,1046.5
Tanytarsus spp,1046.5
Paratanytarsus austriacus,1046.5
Blurry specimens,1046.5
Tanypodinae,1046.5
Polypedilum spp,1046.5
Microtendipes,1046.5
Blurry specimens,1046.5
Acari spp,1046.5
Blurry specimens,1046.5
Particles,1046.5
Microtendipes,1046.5
Blurry specimens,1046.5
Blurry specimens,1046.5
Microtendipes,1046.5
Acari spp,1046.5
Blurry specimens,1046.5
Micropsectra insignilobus,1046.5
Micropsectra insignilobus,1046.5
Acari spp,1046.5
Microtendipes,1046.5
Blurry specimens,1046.5
Acari spp,1046.5
Acari spp,1046.5
Corynoneura spp,1046.5
Fragmented hc,1046.5
Microtendipes,1046.5
Blurry specimens,1046.5
Acari spp,1046.5
Acari spp,1046.5
Tanytarsus spp,1046.5
Limnophyes type,1046.5
Acari spp,1046.5
Acari spp,1046.5
Blurry specimens,1046.5
Blurry specimens,1046.5
Blurry specimens,1046.5
Acari spp,1046.5
Acari spp,1046.5
others,1046.5
Blurry specimens,1046.5
Corynoneura spp,1046.5
Acari spp,1046.5
Acari spp,1046.5
Acari spp,1046.5
Pseudochironomus spp,1047.5
Micropsectra insignilobus,1047.5
Microtendipes,1047.5
Pseudochironomus spp,1047.5
Blurry specimens,1047.5
Pseudochironomus spp,1047.5
Pseudochironomus spp,1047.5
Tanytarsus lugens,1047.5
Pseudochironomus spp,1047.5
Blurry specimens,1047.5
Microtendipes,1047.5
Micropsectra insignilobus,1047.5
Blurry specimens,1047.5
Pseudochironomus spp,1047.5
Chironomus spp,1047.5
Pseudochironomus spp,1047.5
Micropsectra insignilobus,1047.5
Microtendipes,1047.5
Blurry specimens,1047.5
Mentum,1047.5
Microtendipes,1047.5
Fragmented hc,1047.5
Blurry specimens,1047.5
Blurry specimens,1047.5
Blurry specimens,1047.5
Blurry specimens,1047.5
Chironomus spp,1047.5
Mentum,1047.5
Acari spp,1047.5
Fragmented hc,1047.5
Mentum,1047.5
Blurry specimens,1047.5
Fragmented hc,1047.5
Mentum,1047.5
Tanytarsus lugens,1047.5
Blurry specimens,1047.5
Mentum,1047.5
Stictochironomus rosenschoeldi,1047.5
Background,1047.5
Pseudochironomus spp,1047.5
Blurry specimens,1047.5
Background,1047.5
Mentum,1047.5
Microtendipes,1047.5
Pseudochironomus spp,1047.5
Blurry specimens,1047.5
Fragmented hc,1047.5
Paratanytarsus austriacus,1047.5
unsure,1047.5
Chironomus spp,1047.5
Acari spp,1047.5
Blurry specimens,1047.5
Polypedilum spp,1047.5
Background,1047.5
Fragmented hc,1047.5
Particles,1047.5
Chironomus spp,1047.5
Fragmented hc,1047.5
unsure,1047.5
Fragmented hc,1047.5
Paratanytarsus austriacus,1047.5
Background,1047.5
Limnophyes type,1047.5
Microtendipes,1047.5
Chironomus spp,1047.5
Mentum,1047.5
Mentum,1047.5
Blurry specimens,1047.5
Acari spp,1047.5
