Taxa,Depth below sediment water interface (cm)
Blurry specimens,1057.5
Blurry specimens,1057.5
Blurry specimens,1057.5
Stictochironomus rosenschoeldi,1057.5
Blurry specimens,1057.5
Microtendipes,1057.5
Multiple,1057.5
Multiple,1057.5
Microtendipes,1057.5
Fragmented hc,1057.5
Limnophyes type,1057.5
Multiple,1057.5
Blurry specimens,1057.5
Microtendipes,1057.5
Blurry specimens,1057.5
Microtendipes,1057.5
Microtendipes,1057.5
Fragmented hc,1057.5
Microtendipes,1057.5
Microtendipes,1057.5
Microtendipes,1057.5
Microtendipes,1057.5
Blurry specimens,1057.5
Limnophyes type,1057.5
Blurry specimens,1057.5
Microtendipes,1057.5
Acari spp,1057.5
Microtendipes,1057.5
Microtendipes,1057.5
Blurry specimens,1057.5
Stictochironomus rosenschoeldi,1057.5
Micropsectra insignilobus,1057.5
Microtendipes,1057.5
Blurry specimens,1057.5
Microtendipes,1057.5
Microtendipes,1057.5
Pseudochironomus spp,1057.5
Microtendipes,1057.5
Microtendipes,1057.5
Microtendipes,1057.5
Blurry specimens,1057.5
Microtendipes,1057.5
Multiple,1057.5
Blurry specimens,1057.5
Microtendipes,1057.5
Chironomus spp,1057.5
Fragmented hc,1057.5
Multiple,1057.5
Fragmented hc,1057.5
Microtendipes,1057.5
Microtendipes,1057.5
Multiple,1057.5
Microtendipes,1057.5
Background,1057.5
Micropsectra insignilobus,1057.5
Background,1057.5
Microtendipes,1057.5
Pseudochironomus spp,1057.5
Multiple,1057.5
Multiple,1057.5
Blurry specimens,1057.5
Multiple,1057.5
Multiple,1057.5
Multiple,1057.5
Background,1057.5
Multiple,1057.5
others,1057.5
Microtendipes,1057.5
Background,1057.5
Microtendipes,1057.5
Multiple,1057.5
unsure,1057.5
Microtendipes,1057.5
Microtendipes,1057.5
Fragmented hc,1057.5
Mentum,1057.5
Micropsectra insignilobus,1057.5
Fragmented hc,1057.5
Micropsectra insignilobus,1057.5
Fragmented hc,1057.5
Blurry specimens,1057.5
Acari spp,1057.5
Psectrocladius spp,1057.5
Microtendipes,1057.5
Micropsectra insignilobus,1057.5
Multiple,1057.5
Fragmented hc,1057.5
Fragmented hc,1057.5
Microtendipes,1057.5
Microtendipes,1057.5
Acari spp,1057.5
Fragmented hc,1057.5
Micropsectra insignilobus,1057.5
Microtendipes,1057.5
Acari spp,1057.5
Microtendipes,1058.5
Microtendipes,1058.5
Tanytarsus lugens,1058.5
Microtendipes,1058.5
Microtendipes,1058.5
Tanytarsus lugens,1058.5
Micropsectra insignilobus,1058.5
Microtendipes,1058.5
Blurry specimens,1058.5
Microtendipes,1058.5
Blurry specimens,1058.5
Microtendipes,1058.5
Blurry specimens,1058.5
Psectrocladius spp,1058.5
Microtendipes,1058.5
Microtendipes,1058.5
Blurry specimens,1058.5
Tanytarsus lugens,1058.5
Blurry specimens,1058.5
Blurry specimens,1058.5
Blurry specimens,1058.5
Microtendipes,1058.5
Microtendipes,1058.5
Microtendipes,1058.5
Microtendipes,1058.5
Microtendipes,1058.5
Chironomus spp,1058.5
Microtendipes,1058.5
Microtendipes,1058.5
Tanytarsus lugens,1058.5
Microtendipes,1058.5
Microtendipes,1058.5
Psectrocladius spp,1058.5
Limnophyes type,1058.5
Microtendipes,1058.5
Microtendipes,1058.5
Microtendipes,1058.5
Microtendipes,1058.5
Chironomus spp,1058.5
Limnophyes type,1058.5
Microtendipes,1058.5
Limnophyes type,1058.5
Microtendipes,1058.5
Limnophyes type,1058.5
Microtendipes,1058.5
Microtendipes,1058.5
Chironomus spp,1058.5
Microtendipes,1058.5
Microtendipes,1058.5
Microtendipes,1058.5
Microtendipes,1058.5
Microtendipes,1058.5
Microtendipes,1058.5
Microtendipes,1058.5
Microtendipes,1058.5
Paratanytarsus austriacus,1058.5
Microtendipes,1058.5
Paratanytarsus austriacus,1058.5
Micropsectra insignilobus,1058.5
Microtendipes,1058.5
Microtendipes,1058.5
Microtendipes,1058.5
Microtendipes,1058.5
Tanytarsus lugens,1058.5
Microtendipes,1058.5
Limnophyes type,1058.5
Polypedilum spp,1058.5
Microtendipes,1058.5
Microtendipes,1058.5
Chironomus spp,1058.5
Fragmented hc,1058.5
Micropsectra insignilobus,1058.5
Microtendipes,1058.5
Fragmented hc,1058.5
Psectrocladius spp,1058.5
Microtendipes,1058.5
Background,1058.5
Fragmented hc,1058.5
Particles,1058.5
Microtendipes,1058.5
Limnophyes type,1058.5
Microtendipes,1058.5
Blurry specimens,1058.5
Fragmented hc,1058.5
Fragmented hc,1058.5
Microtendipes,1058.5
Fragmented hc,1058.5
Microtendipes,1058.5
Fragmented hc,1058.5
Blurry specimens,1058.5
Fragmented hc,1058.5
Fragmented hc,1058.5
Blurry specimens,1058.5
Fragmented hc,1058.5
Paratanytarsus austriacus,1058.5
Fragmented hc,1058.5
Microtendipes,1058.5
Microtendipes,1058.5
Blurry specimens,1058.5
Microtendipes,1058.5
unsure,1058.5
Microtendipes,1058.5
Microtendipes,1058.5
Tanytarsus lugens,1058.5
Tanytarsus lugens,1058.5
Fragmented hc,1058.5
Pseudochironomus spp,1058.5
Fragmented hc,1058.5
Acari spp,1058.5
Microtendipes,1058.5
Tanytarsus lugens,1059.5
Microtendipes,1059.5
Pseudochironomus spp,1059.5
Microtendipes,1059.5
Tanytarsus lugens,1059.5
Microtendipes,1059.5
Limnophyes type,1059.5
Limnophyes type,1059.5
Tanytarsus lugens,1059.5
Microtendipes,1059.5
Limnophyes type,1059.5
Microtendipes,1059.5
Microtendipes,1059.5
others,1059.5
Limnophyes type,1059.5
Microtendipes,1059.5
Microtendipes,1059.5
Microtendipes,1059.5
Chaoborus mandible,1059.5
Microtendipes,1059.5
Limnophyes type,1059.5
Microtendipes,1059.5
Chironomus spp,1059.5
Fragmented hc,1059.5
Limnophyes type,1059.5
Microtendipes,1059.5
Tanytarsus lugens,1059.5
Background,1059.5
Blurry specimens,1059.5
Blurry specimens,1059.5
Mentum,1059.5
Microtendipes,1059.5
Microtendipes,1059.5
Microtendipes,1059.5
Microtendipes,1059.5
Tanytarsus lugens,1059.5
Microtendipes,1059.5
Microtendipes,1059.5
Polypedilum spp,1059.5
Polypedilum spp,1059.5
Tanytarsus lugens,1059.5
Microtendipes,1059.5
Microtendipes,1059.5
Microtendipes,1059.5
Microtendipes,1059.5
Pseudochironomus spp,1059.5
Fragmented hc,1059.5
Limnophyes type,1059.5
Limnophyes type,1059.5
Limnophyes type,1059.5
Chironomus spp,1059.5
Microtendipes,1059.5
Microtendipes,1059.5
Microtendipes,1059.5
Blurry specimens,1059.5
Fragmented hc,1059.5
Tanytarsus spp,1059.5
Blurry specimens,1059.5
Micropsectra insignilobus,1059.5
Microtendipes,1059.5
Fragmented hc,1059.5
Fragmented hc,1059.5
Microtendipes,1059.5
Psectrocladius spp,1059.5
Microtendipes,1059.5
Fragmented hc,1059.5
Paratanytarsus austriacus,1059.5
Microtendipes,1059.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Micropsectra insignilobus,1060.5
Micropsectra insignilobus,1060.5
Paratanytarsus austriacus,1060.5
Paratanytarsus austriacus,1060.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Particles,1060.5
Particles,1060.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Paratanytarsus austriacus,1060.5
Paratanytarsus austriacus,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Mandible,1060.5
Mandible,1060.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Paratanytarsus austriacus,1060.5
Paratanytarsus austriacus,1060.5
Limnophyes type,1060.5
Limnophyes type,1060.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Acari spp,1060.5
Acari spp,1060.5
Particles,1060.5
Particles,1060.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Micropsectra insignilobus,1060.5
Micropsectra insignilobus,1060.5
Limnophyes type,1060.5
Limnophyes type,1060.5
Fragmented hc,1060.5
Fragmented hc,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Tanytarsus lugens,1060.5
Tanytarsus lugens,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Tanytarsus lugens,1060.5
Tanytarsus lugens,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Particles,1060.5
Particles,1060.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Fragmented hc,1060.5
Fragmented hc,1060.5
Limnophyes type,1060.5
Limnophyes type,1060.5
Acari spp,1060.5
Acari spp,1060.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Limnophyes type,1060.5
Limnophyes type,1060.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Background,1060.5
Background,1060.5
Blurry specimens,1060.5
Blurry specimens,1060.5
Background,1060.5
Background,1060.5
Background,1060.5
Background,1060.5
Stictochironomus rosenschoeldi,1060.5
Stictochironomus rosenschoeldi,1060.5
Fragmented hc,1060.5
Fragmented hc,1060.5
Background,1060.5
Background,1060.5
Fragmented hc,1060.5
Fragmented hc,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Fragmented hc,1060.5
Fragmented hc,1060.5
Paratanytarsus austriacus,1060.5
Paratanytarsus austriacus,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Polypedilum spp,1060.5
Polypedilum spp,1060.5
Micropsectra insignilobus,1060.5
Micropsectra insignilobus,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Background,1060.5
Background,1060.5
Paratanytarsus austriacus,1060.5
Paratanytarsus austriacus,1060.5
Fragmented hc,1060.5
Fragmented hc,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Multiple,1060.5
Multiple,1060.5
Background,1060.5
Background,1060.5
Multiple,1060.5
Multiple,1060.5
Paratanytarsus austriacus,1060.5
Paratanytarsus austriacus,1060.5
Multiple,1060.5
Multiple,1060.5
Multiple,1060.5
Multiple,1060.5
Fragmented hc,1060.5
Fragmented hc,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Background,1060.5
Background,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Fragmented hc,1060.5
Fragmented hc,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Heterotrissocladius marcidus,1060.5
Heterotrissocladius marcidus,1060.5
Background,1060.5
Background,1060.5
Mandible,1060.5
Mandible,1060.5
Background,1060.5
Background,1060.5
Fragmented hc,1060.5
Fragmented hc,1060.5
Multiple,1060.5
Multiple,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Chaoborus mandible,1060.5
Chaoborus mandible,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Fragmented hc,1060.5
Fragmented hc,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Fragmented hc,1060.5
Fragmented hc,1060.5
Fragmented hc,1060.5
Fragmented hc,1060.5
Fragmented hc,1060.5
Fragmented hc,1060.5
Fragmented hc,1060.5
Fragmented hc,1060.5
Psectrocladius spp,1060.5
Psectrocladius spp,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Fragmented hc,1060.5
Fragmented hc,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Microtendipes,1060.5
Psectrocladius spp,1061.5
Microtendipes,1061.5
Blurry specimens,1061.5
Limnophyes type,1061.5
Microtendipes,1061.5
Limnophyes type,1061.5
Microtendipes,1061.5
Blurry specimens,1061.5
Multiple,1061.5
Microtendipes,1061.5
Blurry specimens,1061.5
Blurry specimens,1061.5
Microtendipes,1061.5
unsure,1061.5
Mentum,1061.5
Chaoborus mandible,1061.5
Micropsectra radialis,1061.5
Multiple,1061.5
Background,1061.5
Paratanytarsus austriacus,1061.5
Blurry specimens,1061.5
Blurry specimens,1061.5
Microtendipes,1061.5
Chironomus spp,1061.5
Limnophyes type,1061.5
Fragmented hc,1061.5
Microtendipes,1061.5
Microtendipes,1061.5
Multiple,1061.5
Background,1061.5
Multiple,1061.5
Multiple,1061.5
Microtendipes,1061.5
Blurry specimens,1061.5
Microtendipes,1061.5
Blurry specimens,1061.5
Blurry specimens,1061.5
Microtendipes,1061.5
Blurry specimens,1061.5
Micropsectra insignilobus,1061.5
Microtendipes,1061.5
Microtendipes,1061.5
Microtendipes,1061.5
Microtendipes,1061.5
Fragmented hc,1061.5
Chironomus spp,1061.5
Blurry specimens,1061.5
Blurry specimens,1061.5
Microtendipes,1061.5
Microtendipes,1061.5
Microtendipes,1061.5
Blurry specimens,1061.5
Microtendipes,1061.5
Blurry specimens,1061.5
Background,1061.5
Blurry specimens,1061.5
Multiple,1061.5
Fragmented hc,1061.5
Microtendipes,1061.5
Microtendipes,1061.5
Microtendipes,1061.5
Multiple,1061.5
Blurry specimens,1061.5
Fragmented hc,1061.5
Blurry specimens,1061.5
Fragmented hc,1061.5
Microtendipes,1061.5
Microtendipes,1061.5
Polypedilum spp,1061.5
Fragmented hc,1061.5
Fragmented hc,1061.5
Microtendipes,1061.5
Polypedilum spp,1061.5
Multiple,1061.5
Blurry specimens,1061.5
Fragmented hc,1061.5
Multiple,1061.5
Multiple,1061.5
Microtendipes,1061.5
Blurry specimens,1061.5
Microtendipes,1061.5
Multiple,1061.5
Blurry specimens,1061.5
Blurry specimens,1061.5
Tanytarsus lugens,1061.5
Microtendipes,1061.5
Blurry specimens,1061.5
Background,1061.5
Multiple,1061.5
Fragmented hc,1061.5
Fragmented hc,1061.5
Microtendipes,1061.5
Fragmented hc,1061.5
Particles,1061.5
Fragmented hc,1061.5
Fragmented hc,1061.5
Blurry specimens,1061.5
Blurry specimens,1061.5
Blurry specimens,1061.5
Multiple,1061.5
Multiple,1061.5
Chironomus spp,1062.5
unsure,1062.5
Blurry specimens,1062.5
Background,1062.5
Multiple,1062.5
Blurry specimens,1062.5
Blurry specimens,1062.5
Multiple,1062.5
Blurry specimens,1062.5
Multiple,1062.5
Microtendipes,1062.5
Limnophyes type,1062.5
Multiple,1062.5
Limnophyes type,1062.5
Tanytarsus lugens,1062.5
Multiple,1062.5
Polypedilum spp,1062.5
Fragmented hc,1062.5
Multiple,1062.5
Microtendipes,1062.5
Microtendipes,1062.5
Micropsectra insignilobus,1062.5
Blurry specimens,1062.5
Microtendipes,1062.5
Blurry specimens,1062.5
Blurry specimens,1062.5
Background,1062.5
Acari spp,1062.5
Blurry specimens,1062.5
Mentum,1062.5
Multiple,1062.5
Blurry specimens,1062.5
Blurry specimens,1062.5
Limnophyes type,1062.5
Blurry specimens,1062.5
Multiple,1062.5
Blurry specimens,1062.5
Paratanytarsus austriacus,1062.5
Corynoneura spp,1062.5
Microtendipes,1062.5
Acari spp,1062.5
Fragmented hc,1062.5
Microtendipes,1062.5
Microtendipes,1062.5
Fragmented hc,1062.5
Fragmented hc,1062.5
Fragmented hc,1062.5
Multiple,1062.5
Multiple,1062.5
Multiple,1062.5
Background,1062.5
Microtendipes,1062.5
Multiple,1062.5
Microtendipes,1062.5
Microtendipes,1062.5
Acari spp,1062.5
Blurry specimens,1062.5
Microtendipes,1062.5
Paratanytarsus austriacus,1062.5
Paratanytarsus austriacus,1062.5
Particles,1062.5
Multiple,1062.5
Blurry specimens,1062.5
Tanytarsus lugens,1062.5
Blurry specimens,1062.5
Fragmented hc,1062.5
Limnophyes type,1062.5
Limnophyes type,1062.5
Micropsectra insignilobus,1062.5
Acari spp,1062.5
Microtendipes,1062.5
Microtendipes,1062.5
Blurry specimens,1062.5
Particles,1062.5
Paratanytarsus austriacus,1062.5
Paratanytarsus austriacus,1062.5
Fragmented hc,1062.5
Tanytarsus lugens,1062.5
Microtendipes,1062.5
Background,1062.5
Multiple,1062.5
Blurry specimens,1062.5
Paratanytarsus austriacus,1062.5
Particles,1062.5
Fragmented hc,1062.5
Microtendipes,1062.5
Tanytarsus lugens,1062.5
Micropsectra insignilobus,1062.5
Blurry specimens,1062.5
Tanytarsus lugens,1062.5
Blurry specimens,1062.5
Blurry specimens,1062.5
Multiple,1062.5
Microtendipes,1062.5
Blurry specimens,1062.5
Microtendipes,1062.5
Particles,1062.5
Multiple,1062.5
Blurry specimens,1062.5
Fragmented hc,1062.5
Fragmented hc,1062.5
Fragmented hc,1062.5
Chironomus spp,1062.5
Microtendipes,1062.5
Multiple,1062.5
Fragmented hc,1062.5
Microtendipes,1062.5
Chironomus spp,1062.5
Microtendipes,1062.5
unsure,1062.5
Stictochironomus rosenschoeldi,1062.5
Blurry specimens,1062.5
Blurry specimens,1062.5
Limnophyes type,1062.5
Blurry specimens,1062.5
Blurry specimens,1062.5
Chironomus spp,1062.5
Multiple,1062.5
Micropsectra insignilobus,1062.5
Microtendipes,1062.5
Microtendipes,1062.5
Multiple,1062.5
Multiple,1062.5
Microtendipes,1062.5
Blurry specimens,1062.5
Corynoneura spp,1062.5
Psectrocladius spp,1062.5
Microtendipes,1062.5
Fragmented hc,1062.5
Paratanytarsus austriacus,1062.5
Multiple,1062.5
Microtendipes,1062.5
Microtendipes,1062.5
Micropsectra insignilobus,1062.5
Microtendipes,1062.5
Microtendipes,1062.5
Blurry specimens,1062.5
Fragmented hc,1062.5
Blurry specimens,1062.5
Tanytarsus spp,1062.5
Stictochironomus rosenschoeldi,1062.5
Fragmented hc,1062.5
Paratanytarsus austriacus,1062.5
Microtendipes,1062.5
Blurry specimens,1062.5
Micropsectra insignilobus,1062.5
Tanytarsus lugens,1062.5
Multiple,1062.5
Multiple,1062.5
Acari spp,1062.5
Background,1062.5
Fragmented hc,1062.5
Microtendipes,1062.5
Microtendipes,1062.5
Paratanytarsus austriacus,1062.5
Multiple,1062.5
Background,1062.5
Microtendipes,1062.5
Background,1062.5
Blurry specimens,1062.5
Microtendipes,1062.5
Blurry specimens,1062.5
Microtendipes,1062.5
Blurry specimens,1062.5
Microtendipes,1062.5
Microtendipes,1062.5
Microtendipes,1062.5
Blurry specimens,1062.5
Microtendipes,1062.5
Microtendipes,1062.5
Tanytarsus spp,1062.5
Microtendipes,1062.5
Tanytarsus lugens,1062.5
Microtendipes,1062.5
Micropsectra insignilobus,1062.5
Microtendipes,1062.5
Microtendipes,1062.5
Microtendipes,1062.5
Stictochironomus rosenschoeldi,1062.5
Microtendipes,1062.5
Blurry specimens,1062.5
Microtendipes,1062.5
Fragmented hc,1062.5
Fragmented hc,1062.5
Microtendipes,1062.5
Microtendipes,1062.5
Stictochironomus rosenschoeldi,1062.5
Microtendipes,1062.5
Microtendipes,1062.5
Microtendipes,1062.5
Limnophyes type,1062.5
Microtendipes,1062.5
Fragmented hc,1062.5
Multiple,1062.5
Fragmented hc,1064.5
Microtendipes,1064.5
Background,1064.5
Micropsectra insignilobus,1064.5
Blurry specimens,1064.5
Blurry specimens,1064.5
Fragmented hc,1064.5
Blurry specimens,1064.5
Microtendipes,1064.5
Microtendipes,1064.5
Fragmented hc,1064.5
Chironomus spp,1064.5
Microtendipes,1064.5
Blurry specimens,1064.5
Microtendipes,1064.5
Acari spp,1064.5
Blurry specimens,1064.5
Microtendipes,1064.5
Microtendipes,1064.5
Paratanytarsus austriacus,1064.5
Microtendipes,1064.5
Microtendipes,1064.5
Microtendipes,1064.5
Multiple,1064.5
Multiple,1064.5
Polypedilum spp,1064.5
Polypedilum spp,1064.5
Microtendipes,1064.5
Acari spp,1064.5
Mentum,1064.5
Fragmented hc,1064.5
Multiple,1064.5
Blurry specimens,1064.5
Microtendipes,1064.5
Psectrocladius spp,1064.5
Acari spp,1064.5
Blurry specimens,1064.5
Paratanytarsus austriacus,1064.5
Blurry specimens,1064.5
Psectrocladius spp,1064.5
Fragmented hc,1064.5
Microtendipes,1064.5
Blurry specimens,1064.5
Fragmented hc,1064.5
Fragmented hc,1064.5
Fragmented hc,1064.5
Particles,1064.5
Blurry specimens,1064.5
Paratanytarsus austriacus,1064.5
Micropsectra insignilobus,1064.5
Fragmented hc,1064.5
Blurry specimens,1064.5
Acari spp,1064.5
Acari spp,1064.5
Microtendipes,1064.5
Multiple,1064.5
Blurry specimens,1064.5
Micropsectra insignilobus,1065.5
Stictochironomus rosenschoeldi,1065.5
Microtendipes,1065.5
Microtendipes,1065.5
Microtendipes,1065.5
Background,1065.5
Microtendipes,1065.5
Microtendipes,1065.5
Microtendipes,1065.5
Blurry specimens,1065.5
Blurry specimens,1065.5
Acari spp,1065.5
Stictochironomus rosenschoeldi,1065.5
Tanytarsus lugens,1065.5
Microtendipes,1065.5
Stictochironomus rosenschoeldi,1065.5
Micropsectra radialis,1065.5
Blurry specimens,1065.5
Microtendipes,1065.5
Fragmented hc,1065.5
Microtendipes,1065.5
Fragmented hc,1065.5
Blurry specimens,1065.5
Tanytarsus lugens,1065.5
Tanytarsus lugens,1065.5
Microtendipes,1065.5
Tanytarsus lugens,1065.5
Microtendipes,1065.5
Microtendipes,1065.5
Microtendipes,1065.5
Tanytarsus lugens,1065.5
Microtendipes,1065.5
Micropsectra insignilobus,1065.5
Blurry specimens,1065.5
Multiple,1065.5
Polypedilum spp,1065.5
Microtendipes,1065.5
Blurry specimens,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Micropsectra insignilobus,1066.5
Blurry specimens,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Stictochironomus rosenschoeldi,1066.5
Microtendipes,1066.5
Stictochironomus rosenschoeldi,1066.5
Chironomus spp,1066.5
Microtendipes,1066.5
Blurry specimens,1066.5
Background,1066.5
Microtendipes,1066.5
Micropsectra insignilobus,1066.5
Background,1066.5
Psectrocladius spp,1066.5
Blurry specimens,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Blurry specimens,1066.5
Microtendipes,1066.5
Background,1066.5
Microtendipes,1066.5
Fragmented hc,1066.5
Microtendipes,1066.5
Polypedilum spp,1066.5
Microtendipes,1066.5
Blurry specimens,1066.5
Psectrocladius spp,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Blurry specimens,1066.5
Microtendipes,1066.5
Blurry specimens,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Background,1066.5
Fragmented hc,1066.5
Fragmented hc,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Blurry specimens,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Blurry specimens,1066.5
Blurry specimens,1066.5
Microtendipes,1066.5
Mentum,1066.5
Fragmented hc,1066.5
Pseudochironomus spp,1066.5
Blurry specimens,1066.5
Microtendipes,1066.5
Paratanytarsus austriacus,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Blurry specimens,1066.5
Microtendipes,1066.5
Psectrocladius spp,1066.5
Fragmented hc,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Micropsectra insignilobus,1066.5
Fragmented hc,1066.5
Blurry specimens,1066.5
Blurry specimens,1066.5
Multiple,1066.5
Pollen,1066.5
Microtendipes,1066.5
Fragmented hc,1066.5
Limnophyes type,1066.5
Microtendipes,1066.5
Blurry specimens,1066.5
Microtendipes,1066.5
Micropsectra insignilobus,1066.5
Microtendipes,1066.5
Blurry specimens,1066.5
Blurry specimens,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Fragmented hc,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Blurry specimens,1066.5
Acari spp,1066.5
Fragmented hc,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Blurry specimens,1066.5
Fragmented hc,1066.5
Limnophyes type,1066.5
Blurry specimens,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Particles,1066.5
Microtendipes,1066.5
Microtendipes,1066.5
Fragmented hc,1066.5
Blurry specimens,1067.5
Orthocladiinae Diamesinae,1067.5
Fragmented hc,1067.5
Blurry specimens,1067.5
Blurry specimens,1067.5
Blurry specimens,1067.5
Blurry specimens,1067.5
Mentum,1067.5
Psectrocladius spp,1067.5
Fragmented hc,1067.5
Microtendipes,1067.5
Micropsectra insignilobus,1067.5
Background,1067.5
Microtendipes,1067.5
Background,1067.5
Background,1067.5
Fragmented hc,1067.5
Blurry specimens,1067.5
Psectrocladius spp,1067.5
Blurry specimens,1067.5
Tanytarsus spp,1067.5
Multiple,1067.5
Multiple,1067.5
Blurry specimens,1067.5
Acari spp,1067.5
Blurry specimens,1067.5
Blurry specimens,1067.5
Blurry specimens,1067.5
Particles,1067.5
Blurry specimens,1067.5
Tanytarsus lugens,1067.5
Multiple,1067.5
Blurry specimens,1067.5
Background,1067.5
Microtendipes,1067.5
Paratanytarsus austriacus,1067.5
Blurry specimens,1067.5
Background,1067.5
Blurry specimens,1067.5
Paratanytarsus austriacus,1067.5
Psectrocladius spp,1067.5
Micropsectra insignilobus,1067.5
Blurry specimens,1067.5
Blurry specimens,1067.5
Blurry specimens,1067.5
Limnophyes type,1067.5
Fragmented hc,1067.5
Blurry specimens,1067.5
Acari spp,1067.5
Blurry specimens,1067.5
Background,1067.5
Microtendipes,1067.5
Microtendipes,1067.5
Blurry specimens,1067.5
Blurry specimens,1067.5
Blurry specimens,1067.5
Multiple,1067.5
Fragmented hc,1067.5
Multiple,1067.5
Blurry specimens,1067.5
Paratanytarsus austriacus,1067.5
Blurry specimens,1067.5
Blurry specimens,1067.5
Microtendipes,1067.5
Fragmented hc,1067.5
Background,1067.5
Blurry specimens,1067.5
Diatom,1067.5
Microtendipes,1067.5
Background,1067.5
Multiple,1067.5
Blurry specimens,1067.5
Blurry specimens,1067.5
Blurry specimens,1067.5
Blurry specimens,1067.5
Blurry specimens,1067.5
Background,1067.5
Particles,1067.5
Blurry specimens,1067.5
Microtendipes,1067.5
Fragmented hc,1067.5
Blurry specimens,1067.5
Blurry specimens,1067.5
Tanytarsus lugens,1067.5
Blurry specimens,1067.5
Acari spp,1067.5
Blurry specimens,1067.5
Background,1067.5
Blurry specimens,1067.5
Blurry specimens,1067.5
Blurry specimens,1067.5
Microtendipes,1067.5
Background,1067.5
Background,1067.5
Blurry specimens,1067.5
Blurry specimens,1067.5
Multiple,1067.5
Multiple,1067.5
Multiple,1067.5
Microtendipes,1067.5
Blurry specimens,1067.5
Blurry specimens,1067.5
Microtendipes,1067.5
Blurry specimens,1067.5
Blurry specimens,1067.5
Blurry specimens,1067.5
Particles,1067.5
Blurry specimens,1067.5
Blurry specimens,1067.5
Multiple,1067.5
Blurry specimens,1067.5
Background,1067.5
Multiple,1067.5
Blurry specimens,1067.5
Blurry specimens,1067.5
Blurry specimens,1067.5
Background,1067.5
Background,1067.5
Blurry specimens,1067.5
